,cellID,E_rest,Rin,Cin,tau,sag_rat
0,2023_01_04_cell_1,-0.08334412,117076118.65467446,1.7137475967191091e-10,0.02006389169776496,0.1444952329159053
1,2023_01_04_cell_2,-0.08282227,122305472.54340525,1.5601914879283224e-10,0.019081995718927203,0.22860310382797897
2,2023_01_04_cell_3,-0.08183655,150521177.5794583,1.2417333916118335e-10,0.01869071723451478,0.21364990307671305
3,2023_01_04_cell_4,-0.08354248,170254688.4849425,1.5805725626257987e-10,0.02690998892777026,0.6408545977278235
4,2023_01_04_cell_5,-0.082135625,138247503.13974616,1.3233780104464795e-10,0.018295370565427068,0.2972771045643926
5,2023_01_04_cell_6,-0.07886414,138852239.17441046,4.690026209614364e-11,0.006512206409916274,-0.013460997267335526
6,2023_01_20_cell_2,-0.081238404,154839056.24147522,8.366610470404968e-11,0.012954780691775502,0.08879102895293199
7,2023_01_20_cell_3,-0.083884284,156570587.90338323,1.5735822844034363e-10,0.024637670338339482,0.2890716141753902
8,2023_01_20_cell_4,-0.078754276,208931844.5155639,8.515675635583926e-11,0.017791958178387968,0.3371638048996104
9,2023_02_13_cell_1,-0.084467165,175865915.8239554,8.814398300214643e-11,0.015501522295043639,0.10144728181482322
10,2023_02_13_cell_2,-0.08494324,245797651.65989143,9.160404884558107e-11,0.022516060088781816,0.2262941298259812
11,2023_02_13_cell_3,-0.08732666,152392268.80063763,9.530737756173847e-11,0.014524107500072308,0.10185077493534667
12,2023_02_13_cell_4,-0.084848635,261234120.9418898,8.369038473607312e-11,0.02186278408781661,0.34255204023023705
